Varenr;Product name;stregkode;farve;stk;Kasse
AB560-B280-AH70;Seat Cushion for Palissade-Chair and Armchair CMHR;5710441350521;Olive textile FR;1;Div.
AB560-B280-AH71;Seat Cushion for Palissade-Chair and Armchair CMHR;5710441350545;Sky grey textile FR;1;Div.
AB560-B280-AH72;Seat Cushion for Palissade-Chair and Armchair CMHR;5710441350552;Anthracite textile FR;1;Div.
AB560-B280-AI34;Seat Cushion for Palissade-Chair and Armchair CMHR;5710441350590;Iron red textile FR;1;Div.
AB560-B282-AH70;Seat Cushion for Palissade-Dining Armchair CMHR;5710441350569;Olive textile FR;1;Div.
AB560-B282-AH71;Seat Cushion for Palissade-Dining Armchair CMHR;5710441350583;Sky grey textile FR;1;Div.
AB560-B282-AH72;Seat Cushion for Palissade-Dining Armchair CMHR;5710441350408;Anthracite textile FR;1;Div.
AB560-B282-AI34;Seat Cushion for Palissade-Dining Armchair CMHR;5710441350439;Iron red textile FR;1;Div.
AB560-B284-AH70;Seat Cushion for Palissade-Dining Bench CMHR;5710441350415;Olive textile FR;1;Div.
AB560-B284-AH71;Seat Cushion for Palissade-Dining Bench CMHR;5710441350422;Sky grey textile FR;1;Div.
AB560-B284-AH72;Seat Cushion for Palissade-Dining Bench CMHR;5710441350446;Anthracite textile FR;1;Div.
AB560-B284-AI34;Seat Cushion for Palissade-Dining Bench CMHR;5710441350477;Iron red textile FR;1;Div.
AB560-B286-AH70;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;5710441350453;Olive textile FR;1;Div.
AB560-B286-AH71;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;5710441350460;Sky grey textile FR;1;Div.
AB560-B286-AH72;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;5710441350484;Anthracite textile FR;1;Div.
AB560-B286-AI34;Seat Cushion for Palissade-Lounge Chair High & Low CMHR;5710441350491;Iron red textile FR;1;Div.
AB560-B288-AH70;Seat Cushion for Palissade-Lounge Sofa CMHR;5710441350507;Olive textile FR;1;Div.
AB560-B288-AH71;Seat Cushion for Palissade-Lounge Sofa CMHR;5710441350514;Sky grey textile FR;1;Div.
AB560-B288-AH72;Seat Cushion for Palissade-Lounge Sofa CMHR;5710441350538;Anthracite textile FR;1;Div.
AB560-B288-AI34;Seat Cushion for Palissade-Lounge Sofa CMHR;5710441350576;Iron red textile FR;1;Div.
AB561-B290-AH70;Headrest Cushion for Palissade-Chaise Longue CMHR;5710441350613;Olive textile FR;1;Div.
AB561-B290-AH71;Headrest Cushion for Palissade-Chaise Longue CMHR;5710441350620;Sky grey textile FR;1;Div.
AB561-B290-AH72;Headrest Cushion for Palissade-Chaise Longue CMHR;5710441350637;Anthracite textile FR;1;Div.
AB561-B290-AI34;Headrest Cushion for Palissade-Chaise Longue CMHR;5710441350606;Iron red textile FR;1;Div.
AB562-B282-AH70;Quilted Cushion for Palissade-Dining Armchair CMHR;5710441350736;Olive textile FR;1;Div.
AB562-B282-AH71;Quilted Cushion for Palissade-Dining Armchair CMHR;5710441350750;Sky grey textile FR;1;Div.
AB562-B282-AH72;Quilted Cushion for Palissade-Dining Armchair CMHR;5710441350644;Anthracite textile FR;1;Div.
AB562-B282-AI34;Quilted Cushion for Palissade-Dining Armchair CMHR;5710441350675;Iron red textile FR;1;Div.
AB562-B284-AH70;Quilted Cushion for Palissade-Dining Bench CMHR;5710441350651;Olive textile FR;1;Div.
AB562-B284-AH71;Quilted Cushion for Palissade-Dining Bench CMHR;5710441350668;Sky grey textile FR;1;Div.
AB562-B284-AH72;Quilted Cushion for Palissade-Dining Bench CMHR;5710441350682;Anthracite textile FR;1;Div.
AB562-B284-AI34;Quilted Cushion for Palissade-Dining Bench CMHR;5710441350699;Iron red textile FR;1;Div.
AB562-B288-AH70;Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441350705;Olive textile FR;1;Div.
AB562-B288-AH71;Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441350712;Sky grey textile FR;1;Div.
AB562-B288-AH72;Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441350729;Anthracite textile FR;1;Div.
AB562-B288-AI34;Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441350743;Iron red textile FR;1;Div.
AB562-B290-AH70;Quilted Cushion for Palissade-Chaise Longue CMHR;5710441350859;Olive textile FR;1;Div.
AB562-B290-AH71;Quilted Cushion for Palissade-Chaise Longue CMHR;5710441350866;Sky grey textile FR;1;Div.
AB562-B290-AH72;Quilted Cushion for Palissade-Chaise Longue CMHR;5710441350873;Anthracite textile FR;1;Div.
AB562-B290-AI34;Quilted Cushion for Palissade-Chaise Longue CMHR;5710441350842;Iron red textile FR;1;Div.
AB562-B292-AH70;Quilted Cushion for Palissade-Lounge Chair High CMHR;5710441350781;Olive textile FR;1;Div.
AB562-B292-AH71;Quilted Cushion for Palissade-Lounge Chair High CMHR;5710441350804;Sky grey textile FR;1;Div.
AB562-B292-AH72;Quilted Cushion for Palissade-Lounge Chair High CMHR;5710441350828;Anthracite textile FR;1;Div.
AB562-B292-AI34;Quilted Cushion for Palissade-Lounge Chair High CMHR;5710441350767;Iron red textile FR;1;Div.
AB562-B294-AH70;Quilted Cushion for Palissade-Lounge Chair Low CMHR;5710441350798;Olive textile FR;1;Div.
AB562-B294-AH71;Quilted Cushion for Palissade-Lounge Chair Low CMHR;5710441350811;Sky grey textile FR;1;Div.
AB562-B294-AH72;Quilted Cushion for Palissade-Lounge Chair Low CMHR;5710441350835;Anthracite textile FR;1;Div.
AB562-B294-AI34;Quilted Cushion for Palissade-Lounge Chair Low CMHR;5710441350774;Iron red textile FR;1;Div.
AE014-B280-AO42;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;5710441350965;Olive textile Interliner;1;Div.
AE014-B280-AO43;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;5710441351016;Sky grey textile Interliner;1;Div.
AE014-B280-AO44;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;5710441351061;Anthracite textile Interliner;1;Div.
AE014-B280-AO45;Soft Quilted Cushion for Palissade-Chair and Armchair CMHR;5710441351115;Iron red textile Interliner;1;Div.
AE014-B282-AO42;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;5710441350989;Olive textile Interliner;1;Div.
AE014-B282-AO43;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;5710441351030;Sky grey textile Interliner;1;Div.
AE014-B282-AO44;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;5710441351085;Anthracite textile Interliner;1;Div.
AE014-B282-AO45;Soft Quilted Cushion for Palissade-Dining Armchair CMHR;5710441351139;Iron red textile Interliner;1;Div.
AE014-B284-AO42;Soft Quilted Cushion for Palissade-Dining Bench CMHR;5710441350996;Olive textile Interliner;1;Div.
AE014-B284-AO43;Soft Quilted Cushion for Palissade-Dining Bench CMHR;5710441351047;Sky grey textile Interliner;1;Div.
AE014-B284-AO44;Soft Quilted Cushion for Palissade-Dining Bench CMHR;5710441351092;Anthracite textile Interliner;1;Div.
AE014-B284-AO45;Soft Quilted Cushion for Palissade-Dining Bench CMHR;5710441351146;Iron red textile Interliner;1;Div.
AE014-B288-AO42;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441351009;Olive textile Interliner;1;Div.
AE014-B288-AO43;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441351054;Sky grey textile Interliner;1;Div.
AE014-B288-AO44;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441351108;Anthracite textile Interliner;1;Div.
AE014-B288-AO45;Soft Quilted Cushion for Palissade-Lounge Sofa CMHR;5710441351153;Iron red textile Interliner;1;Div.
AE014-B290-AO42;Soft Quilted Cushion for Palissade-Chaise Longue CMHR;5710441350972;Olive textile Interliner;1;Div.
AE014-B290-AO43;Soft Quilted Cushion for Palissade-Chaise Longue CMHR;5710441351023;Sky grey textile Interliner;1;Div.
